	0
0.01	1.597507701996195e-14
0.02	1.1477614771077291e-14
0.03	9.459236476316775e-15
0.04	8.246320918572481e-15
0.05	7.413683053095777e-15
0.060000000000000005	6.796171416378319e-15
0.06999999999999999	6.314374563941165e-15
0.08	5.9247175560481234e-15
0.09	5.601020518935499e-15
0.09999999999999999	5.326474585610155e-15
0.11	5.0897244902840745e-15
0.12	4.882784033806561e-15
0.13	4.699849855255761e-15
0.14	4.53658901180025e-15
0.15000000000000002	4.389691733753039e-15
0.16	4.2565800395371195e-15
0.17	4.135211811320988e-15
0.18000000000000002	4.023945430001025e-15
0.19	3.9214440131924406e-15
0.2	3.826606247685027e-15
0.21000000000000002	3.738515502885977e-15
0.22	3.656401773951951e-15
0.23	3.5796127973933875e-15
0.24000000000000002	3.507591834768851e-15
0.25	3.439860377559868e-15
0.26	3.3760045341263945e-15
0.27	3.315664206348031e-15
0.28	3.258524404238728e-15
0.29000000000000004	3.204308216469015e-15
0.3	3.1527710759916435e-15
0.31	3.1036960477698494e-15
0.32	3.056889929948314e-15
0.33	3.0121800074805127e-15
0.34	2.969411332916452e-15
0.35000000000000003	2.928444436032435e-15
0.36000000000000004	2.8891533845607636e-15
0.37	2.851424134104227e-15
0.38	2.8151531175907887e-15
0.39	2.7802460342085726e-15
0.4	2.7466168053006505e-15
0.41000000000000003	2.7141866706693523e-15
0.42000000000000004	2.6828834034971175e-15
0.43	2.6526406259043962e-15
0.44	2.6233972102393472e-15
0.45	2.595096753685619e-15
0.46	2.567687115804252e-15
0.47000000000000003	2.5411200102871858e-15
0.48000000000000004	2.5153506435662828e-15
0.49	2.49033739405048e-15
0.5	2.4660415266999517e-15
0.51	2.4424269384260406e-15
0.52	2.419459930457724e-15
0.53	2.3971090043626373e-15
0.54	2.3753446788715313e-15
0.55	2.354139325044564e-15
0.56	2.333467017648055e-15
0.5700000000000001	2.3133034008912745e-15
0.5800000000000001	2.293625566912435e-15
0.59	2.274411945608189e-15
0.6	2.2556422045768385e-15
0.61	2.237297158096899e-15
0.62	2.2193586841932427e-15
0.63	2.2018096489560383e-15
0.64	2.1846338373755985e-15
0.65	2.1678158900413838e-15
0.66	2.1513412451275333e-15
0.67	2.1351960851519985e-15
0.68	2.1193672880529927e-15
0.6900000000000001	2.1038423821760687e-15
0.7000000000000001	2.0886095048087674e-15
0.7100000000000001	2.0736573639381182e-15
0.72	2.058975202940146e-15
0.73	2.0445527679403946e-15
0.74	2.030380277610956e-15
0.75	2.0164483951929445e-15
0.76	2.0027482025541695e-15
0.77	1.9892711761103074e-15
0.78	1.9760091644543604e-15
0.79	1.9629543675539313e-15
0.8	1.9500993173889962e-15
0.81	1.9374368599146385e-15
0.8200000000000001	1.9249601382437672e-15
0.8300000000000001	1.9126625769543194e-15
0.8400000000000001	1.9005378674339466e-15
0.85	1.888579954182872e-15
0.86	1.876783022002488e-15
0.87	1.8651414840035112e-15
0.88	1.8536499703731155e-15
0.89	1.8423033178455883e-15
0.9	1.8310965598256207e-15
0.91	1.8200249171175613e-15
0.92	1.8090837892177213e-15
0.93	1.798268746130279e-15
0.9400000000000001	1.7875755206704657e-15
0.9500000000000001	1.777000001221556e-15
0.9600000000000001	1.7665382249147958e-15
0.97	1.7561863712037573e-15
0.98	1.7459407558068041e-15
0.99	1.7357978249932867e-15
1.0	1.7257541501909457e-15
1.01	1.7158064228936136e-15
1.02	1.705951449849867e-15
1.03	1.696186148514646e-15
1.04	1.6865075427471494e-15
1.05	1.6769127587394959e-15
1.06	1.6673990211617156e-15
1.07	1.6579636495096332e-15
1.08	1.648604054643135e-15
1.09	1.6393177355031402e-15
1.1	1.6301022759963907e-15
1.11	1.6209553420378997e-15
1.12	1.611874678741547e-15
1.1300000000000001	1.6028581077499517e-15
1.1400000000000001	1.5939035246953097e-15
1.1500000000000001	1.5850088967834087e-15
1.1600000000000001	1.5761722604935438e-15
1.17	1.5673917193874906e-15
1.18	1.5586654420211387e-15
1.19	1.5499916599527568e-15
1.2	1.5413686658422537e-15
1.21	1.5327948116361201e-15
1.22	1.5242685068330641e-15
1.23	1.5157882168256476e-15
1.24	1.5073524613135063e-15
1.25	1.498959812783997e-15
1.26	1.4906088950563538e-15
1.27	1.4822983818856635e-15
1.28	1.4740269956231859e-15
1.29	1.465793505929732e-15
1.3	1.457596728539013e-15
1.31	1.4494355240680373e-15
1.32	1.4413087968718e-15
1.33	1.4332154939396696e-15
1.34	1.4251546038310123e-15
1.35	1.4171251556477377e-15
1.36	1.4091262180415786e-15
1.37	1.4011568982540337e-15
1.3800000000000001	1.3932163411870298e-15
1.3900000000000001	1.3853037285024513e-15
1.4000000000000001	1.3774182777488065e-15
1.4100000000000001	1.3695592415133798e-15
1.42	1.361725906598326e-15
1.43	1.353917593219249e-15
1.44	1.3461336542248722e-15
1.45	1.3383734743365191e-15
1.46	1.3306364694061642e-15
1.47	1.322922085691916e-15
1.48	1.3152297991498343e-15
1.49	1.3075591147410756e-15
1.5	1.2999095657534002e-15
1.51	1.292280713136145e-15
1.52	1.2846721448478264e-15
1.53	1.2770834752155738e-15
1.54	1.2695143443056736e-15
1.55	1.2619644173045194e-15
1.56	1.2544333839093398e-15
1.57	1.2469209577281104e-15
1.58	1.2394268756880848e-15
1.59	1.23195089745245e-15
1.6	1.224492804844626e-15
1.61	1.2170524012797727e-15
1.62	1.2096295112031186e-15
1.6300000000000001	1.2022239795347339e-15
1.6400000000000001	1.1948356711204277e-15
1.6500000000000001	1.187464470188466e-15
1.6600000000000001	1.1801102798118404e-15
1.6700000000000002	1.1727730213758527e-15
1.68	1.1654526340507948e-15
1.69	1.158149074269541e-15
1.7	1.1508623152098953e-15
1.71	1.143592346281541e-15
1.72	1.136339172617491e-15
1.73	1.1291028145699365e-15
1.74	1.121883307210417e-15
1.75	1.1146806998342602e-15
1.76	1.10749505546925e-15
1.77	1.1003264503885033e-15
1.78	1.0931749736275456e-15
1.79	1.086040726505601e-15
1.8	1.078923822151112e-15
1.81	1.0718243850315281e-15
1.82	1.0647425504874142e-15
1.83	1.057678464270926e-15
1.84	1.0506322820887341e-15
1.85	1.0436041691494642e-15
1.86	1.0365942997157446e-15
1.87	1.0296028566609495e-15
1.8800000000000001	1.0226300310307428e-15
1.8900000000000001	1.0156760216095242e-15
1.9000000000000001	1.008741034491893e-15
1.9100000000000001	1.0018252826592332e-15
1.9200000000000002	9.949289855615551e-16
1.93	9.880523687047016e-16
1.94	9.811956632430449e-16
1.95	9.74359105577806e-16
1.96	9.675429369611116e-16
1.97	9.60747403105925e-16
1.98	9.539727538019685e-16
1.99	9.472192425377667e-16
2.0	9.404871261289343e-16
2.01	9.33776664352826e-16
2.02	9.270881195896704e-16
2.03	9.204217564703055e-16
2.04	9.13777841530621e-16
2.05	9.071566428728269e-16
2.0599999999999996	9.005584298336423e-16
2.07	8.939834726595135e-16
2.0799999999999996	8.874320421889502e-16
2.09	8.809044095420711e-16
2.0999999999999996	8.744008458174472e-16
2.11	8.679216217963156e-16
2.1199999999999997	8.614670076542418e-16
2.13	8.550372726802934e-16
2.1399999999999997	8.486326850037862e-16
2.15	8.422535113286573e-16
2.1599999999999997	8.359000166755136e-16
2.17	8.295724641313872e-16
2.1799999999999997	8.232711146072454e-16
2.19	8.169962266032668e-16
2.1999999999999997	8.107480559819136e-16
2.21	8.045268557488025e-16
2.2199999999999998	7.983328758413926e-16
2.23	7.921663629254692e-16
2.2399999999999998	7.860275601994368e-16
2.25	7.799167072063838e-16
2.26	7.738340396539131e-16
2.27	7.67779789241696e-16
2.28	7.617541834967243e-16
2.29	7.557574456162046e-16
2.3	7.497897943180583e-16
2.31	7.438514436989605e-16
2.32	7.379426030998632e-16
2.3299999999999996	7.320634769789287e-16
2.34	7.262142647918035e-16
2.3499999999999996	7.203951608791515e-16
2.36	7.146063543613572e-16
2.3699999999999997	7.088480290403177e-16
2.38	7.031203633082147e-16
2.3899999999999997	6.97423530063181e-16
2.4	6.91757696631741e-16
2.4099999999999997	6.861230246979295e-16
2.42	6.805196702389635e-16
2.4299999999999997	6.749477834673588e-16
2.44	6.694075087793611e-16
2.4499999999999997	6.638989847095762e-16
2.46	6.58422343891661e-16
2.4699999999999998	6.529777130249545e-16
2.48	6.475652128469053e-16
2.4899999999999998	6.421849581111676e-16
2.5	6.368370575712206e-16
2.51	6.315216139693754e-16
2.52	6.2623872403102295e-16
2.53	6.209884784639847e-16
2.54	6.157709619628123e-16
2.55	6.105862532179e-16
2.56	6.054344249292525e-16
2.57	6.0031554382477e-16
2.5799999999999996	5.952296706828924e-16
2.59	5.901768603594629e-16
2.5999999999999996	5.85157161818657e-16
2.61	5.801706181678286e-16
2.6199999999999997	5.752172666961281e-16
2.63	5.702971389167417e-16
2.6399999999999997	5.654102606126079e-16
2.65	5.605566518854612e-16
2.6599999999999997	5.557363272080633e-16
2.67	5.50949295479472e-16
2.6799999999999997	5.461955600832116e-16
2.69	5.414751189481972e-16
2.6999999999999997	5.367879646122804e-16
2.71	5.32134084288272e-16
2.7199999999999998	5.275134599323116e-16
2.73	5.229260683144462e-16
2.7399999999999998	5.183718810912899e-16
2.75	5.138508648806292e-16
2.76	5.093629813378556e-16
2.77	5.049081872340891e-16
2.78	5.004864345358839e-16
2.79	4.960976704863802e-16
2.8	4.91741837687802e-16
2.81	4.8741887418516905e-16
2.82	4.831287135511263e-16
2.8299999999999996	4.788712849717684e-16
2.84	4.74646513333363e-16
2.8499999999999996	4.704543193098613e-16
2.86	4.662946194510992e-16
2.8699999999999997	4.621673262715907e-16
2.88	4.580723483398137e-16
2.8899999999999997	4.540095903679039e-16
2.9	4.499789533016581e-16
2.9099999999999997	4.459803344107685e-16
2.92	4.4201362737919546e-16
2.9299999999999997	4.380787223956095e-16
2.94	4.341755062438099e-16
2.9499999999999997	4.303038623930589e-16
2.96	4.264636710882481e-16
2.9699999999999998	4.2265480943983534e-16
2.98	4.1887715151347815e-16
2.9899999999999998	4.1513056841930847e-16
3.0	4.114149284007766e-16
3.01	4.0773009692301703e-16
3.02	4.0407593676066964e-16
3.03	4.004523080851128e-16
3.04	3.968590685510477e-16
3.05	3.932960733823956e-16
3.06	3.897631754574531e-16
3.07	3.862602253932697e-16
3.08	3.8278707162920054e-16
3.09	3.793435605096012e-16
3.0999999999999996	3.759295363656238e-16
3.11	3.725448415960821e-16
3.1199999999999997	3.691893167473567e-16
3.13	3.658628005923028e-16
3.1399999999999997	3.625651302081435e-16
3.15	3.5929614105331227e-16
3.1599999999999997	3.560556670432301e-16
3.17	3.52843540624989e-16
3.1799999999999997	3.4965959285092593e-16
3.19	3.465036534510669e-16
3.1999999999999997	3.4337555090442664e-16
3.21	3.402751125091477e-16
3.2199999999999998	3.3720216445146714e-16
3.23	3.3415653187349843e-16
3.2399999999999998	3.3113803893982025e-16
3.25	3.281465089028616e-16
3.26	3.251817641670787e-16
3.27	3.222436263519159e-16
3.28	3.1933191635354825e-16
3.29	3.164464544054003e-16
3.3	3.135870601374435e-16
3.31	3.1075355263426587e-16
3.32	3.0794575049191964e-16
3.33	3.051634718735454e-16
3.34	3.0240653456377644e-16
3.3499999999999996	2.9967475602192634e-16
3.36	2.9696795343396486e-16
3.3699999999999997	2.9428594376328717e-16
3.38	2.9162854380028173e-16
3.3899999999999997	2.8899557021070625e-16
3.4	2.8638683958287617e-16
3.4099999999999997	2.838021684736772e-16
3.42	2.812413734534082e-16
3.4299999999999997	2.7870427114946707e-16
3.44	2.7619067828888717e-16
3.4499999999999997	2.737004117397377e-16
3.46	2.7123328855139674e-16
3.4699999999999998	2.68789125993712e-16
3.48	2.663677415950581e-16
3.4899999999999998	2.639689531793071e-16
3.5	2.6159257890172113e-16
3.51	2.592384372837852e-16
3.52	2.5690634724698917e-16
3.53	2.545961281455781e-16
3.54	2.523075997982806e-16
3.55	2.500405825190339e-16
3.56	2.477948971467173e-16
3.57	2.45570365073912e-16
3.58	2.4336680827469916e-16
3.59	2.411840493315159e-16
3.5999999999999996	2.3902191146108033e-16
3.61	2.3688021853940444e-16
3.6199999999999997	2.347587951259096e-16
3.63	2.326574664866594e-16
3.6399999999999997	2.30576058616728e-16
3.65	2.2851439826171713e-16
3.6599999999999997	2.2647231293844084e-16
3.67	2.2444963095479e-16
3.6799999999999997	2.2244618142879665e-16
3.69	2.2046179430691037e-16
3.6999999999999997	2.1849630038150558e-16
3.71	2.1654953130763312e-16
3.7199999999999998	2.146213196190329e-16
3.73	2.1271149874342392e-16
3.7399999999999998	2.108199030170859e-16
3.75	2.089463676987483e-16
3.76	2.0709072898280318e-16
3.77	2.0525282401185537e-16
3.78	2.034324908886266e-16
3.79	2.0162956868722742e-16
3.8	1.9984389746381256e-16
3.81	1.9807531826663395e-16
3.82	1.96323673145506e-16
3.83	1.9458880516069742e-16
3.84	1.9287055839126438e-16
3.8499999999999996	1.9116877794283797e-16
3.86	1.8948330995488082e-16
3.8699999999999997	1.8781400160742613e-16
3.88	1.8616070112731214e-16
3.8899999999999997	1.8452325779392668e-16
3.9	1.8290152194447323e-16
3.9099999999999997	1.8129534497877292e-16
3.92	1.7970457936361393e-16
3.9299999999999997	1.78129078636662e-16
3.94	1.7656869740994338e-16
3.9499999999999997	1.7502329137291346e-16
3.96	1.7349271729512113e-16
3.9699999999999998	1.7197683302848338e-16
3.98	1.7047549750917885e-16
3.9899999999999998	1.6898857075917407e-16
4.0	1.6751591388739095e-16
4.01	1.6605738909052986e-16
4.02	1.64612859653555e-16
4.03	1.6318218994985595e-16
4.04	1.6176524544109461e-16
4.05	1.60361892676746e-16
4.06	1.5897199929334575e-16
4.07	1.575954340134519e-16
4.08	1.562320666443316e-16
4.09	1.5488176807638055e-16
4.1	1.5354441028128667e-16
4.109999999999999	1.5221986630994484e-16
4.12	1.5090801029013245e-16
4.13	1.4960871742395432e-16
4.14	1.4832186398506462e-16
4.1499999999999995	1.4704732731567482e-16
4.16	1.4578498582335532e-16
4.17	1.4453471897763897e-16
4.18	1.4329640730643233e-16
4.1899999999999995	1.4206993239224542e-16
4.2	1.4085517686824355e-16
4.21	1.3965202441413176e-16
4.22	1.3846035975187529e-16
4.2299999999999995	1.372800686412664e-16
4.24	1.3611103787534112e-16
4.25	1.3495315527565497e-16
4.26	1.338063096874209e-16
4.27	1.3267039097451877e-16
4.28	1.315452900143801e-16
4.29	1.3043089869275485e-16
4.3	1.2932710989836523e-16
4.31	1.2823381751745283e-16
4.32	1.2715091642822383e-16
4.33	1.2607830249519808e-16
4.34	1.2501587256346572e-16
4.35	1.2396352445285826e-16
4.36	1.229211569520376e-16
4.37	1.2188866981250787e-16
4.38	1.2086596374255453e-16
4.39	1.198529404011156e-16
4.3999999999999995	1.1884950239158893e-16
4.41	1.1785555325557945e-16
4.42	1.1687099746659113e-16
4.43	1.1589574042366655e-16
4.4399999999999995	1.1492968844497885e-16
4.45	1.1397274876137903e-16
4.46	1.1302482950990293e-16
4.47	1.1208583972724e-16
4.4799999999999995	1.1115568934316882e-16
4.49	1.1023428917396162e-16
4.5	1.093215509157612e-16
4.51	1.084173871379329e-16
4.52	1.0752171127639559e-16
4.53	1.0663443762693329e-16
4.54	1.0575548133849139e-16
4.55	1.0488475840645859e-16
4.56	1.0402218566593889e-16
4.57	1.0316768078501478e-16
4.58	1.0232116225800504e-16
4.59	1.0148254939871828e-16
4.6	1.0065176233370548e-16
4.61	9.982872199551344e-17
4.62	9.901335011594141e-17
4.63	9.820556921930162e-17
4.64	9.740530261568782e-17
4.6499999999999995	9.66124743942518e-17
4.66	9.582700941649077e-17
4.67	9.504883330954712e-17
4.68	9.427787245952138e-17
4.6899999999999995	9.351405400480158e-17
4.7	9.275730582940898e-17
4.71	9.200755655636304e-17
4.72	9.126473554106527e-17
4.7299999999999995	9.052877286470545e-17
4.74	8.979959932768969e-17
4.75	8.907714644309311e-17
